id,r2score,duration (min),colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
VMtI5,0.9576,1.57,0.6,0.1,0.07,3,6,1000,0.01,1.00E-05,0.6
syEx6,0.9574,1.54,0.8,0.1,0.07,3,6,1000,0.75,1.00E-05,0.6
QoxSz,0.9574,1.57,0.8,0.03,0.07,3,6,1000,0.75,1.00E-05,0.6
kcJgz,0.9574,1.83,0.6,0.1,0.07,5,6,1000,0.75,0.45,0.6
tYOi2,0.9574,1.59,0.4,0,0.1,3,6,1000,0.01,1.00E-05,0.95
b4ChR,0.9574,1.40,0.4,0.1,0.1,3,6,1000,0.01,1.00E-05,0.6
elOQX,0.9573,1.52,0.4,0,0.1,3,1.5,1000,0.75,1.00E-05,0.95
jIJrr,0.9573,1.45,0.4,0,0.1,3,1.5,1000,0.75,1.00E-05,0.95
xyrQ4,0.9573,1.45,0.4,0,0.1,3,6,1000,0.75,1.00E-05,0.95
JPLic,0.9573,1.46,0.4,0.03,0.1,3,6,1000,0.75,1.00E-05,0.95
cHfSb,0.9573,1.76,0.8,0.3,0.07,5,6,1000,0.75,0.45,0.95
BJptc,0.9573,1.81,0.8,0.3,0.07,5,10,1000,1.00E-05,0.45,0.95
RBQeY,0.9572,1.44,0.6,0.3,0.07,3,10,1000,1.00E-05,0.01,0.95
