reward,id,parameter
0.9539666189702386,pgjzF,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.07, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9556385928028295,qujKb,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.01, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.9550991033355191,ROf6o,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9556454847365847,XkwUt,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.9569798164779113,NS2Ig,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9556404163818224,TDhEY,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9540657455260995,OK497,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9560568477276246,FxA6N,"{'colsample_bytree': 0.4, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 0.01, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.957816828320247,tEqRV,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.957255791075783,Ca1dv,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9548495565396162,BinOF,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9584752993525025,CEGy9,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.9570685859011453,fmyRA,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9567199053995523,CVFgs,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9554519225334801,HkoW4,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.6}"
