id,r2score,duration (min),activation,dropout,optimizer,neurons_width,hidden_layers,batch_size
B69mI,0.0000,84.83,elu,TRUE,RMSProp,64,4,6
Niz1L,0.0000,121.29,relu,FALSE,Adagrad,16,2,6
Q8Nie,0.0000,47.72,selu,TRUE,Adam,32,4,24
krTCV,0.0000,27.30,LeakyReLU_0.05,TRUE,RMSProp,64,8,12
asA4e,0.0000,20.65,LeakyReLU_0.1,TRUE,Adadelta,16,4,48
Tg4eX,0.0000,22.42,LeakyReLU_0.01,TRUE,Adadelta,16,8,48
Po3s0,0.0000,27.00,LeakyReLU_0.01,TRUE,Adam,128,4,72
UpYi3,0.0000,46.83,elu,TRUE,Adadelta,16,32,24
SnrZ0,0.0000,29.87,LeakyReLU_0.01,FALSE,Adadelta,128,2,24
buV49,0.0000,42.89,elu,TRUE,Adagrad,64,2,12
mm10S,0.0000,21.63,elu,TRUE,Adagrad,64,2,24
BkG7n,0.0000,35.95,relu,TRUE,Adadelta,64,4,24
BU2bI,0.0000,93.33,selu,FALSE,Adagrad,16,4,6
wkhc9,0.0000,87.56,LeakyReLU_0.05,TRUE,Adadelta,32,8,12
nN5sI,0.0000,56.30,LeakyReLU_0.05,TRUE,Adagrad,32,8,12
ObHcG,0.0000,33.47,elu,TRUE,Adadelta,16,16,24
kwLkz,0.0000,29.46,LeakyReLU_0.05,TRUE,RMSProp,32,8,12
z0gJO,0.0000,31.93,LeakyReLU_0.05,TRUE,RMSProp,32,8,6
qbaEd,0.0000,102.40,LeakyReLU_0.01,TRUE,Adagrad,128,32,48
dhkZP,0.0000,25.39,LeakyReLU_0.1,TRUE,RMSProp,64,8,24
wKMYC,0.0000,21.57,LeakyReLU_0.1,TRUE,RMSProp,64,4,24
uCr5V,0.0000,13.98,LeakyReLU_0.05,TRUE,Adadelta,16,4,72
pROjQ,0.0000,1.53,LeakyReLU_0.1,FALSE,Adadelta,128,4,72
dMMha,0.0000,89.63,LeakyReLU_0.05,TRUE,Adagrad,32,32,24
ob2Yi,0.0000,36.74,LeakyReLU_0.1,TRUE,Adadelta,64,2,24
MNM9e,0.0000,2.62,LeakyReLU_0.1,FALSE,Adagrad,32,8,24
NWkXG,0.0000,74.90,LeakyReLU_0.05,TRUE,Adadelta,64,16,24
kB9a7,0.0000,23.39,elu,FALSE,Adam,32,16,6
MSfo3,0.0000,20.31,elu,FALSE,Adam,64,16,6
dfVt4,0.0000,22.64,LeakyReLU_0.1,TRUE,Adadelta,16,8,48
iKq5R,0.0000,23.34,elu,TRUE,Adagrad,32,4,12
e0FO6,0.0000,5.78,selu,FALSE,Adadelta,128,16,72
D1QIj,0.0000,80.36,LeakyReLU_0.05,TRUE,Adam,32,4,6
jdbli,0.0000,37.40,relu,FALSE,Adadelta,32,8,24
zzfHj,0.0000,113.69,relu,FALSE,Adadelta,64,4,6
cjWZo,0.0000,27.17,relu,TRUE,RMSProp,64,16,48
HwxL6,0.0000,2.20,LeakyReLU_0.1,FALSE,Adadelta,16,16,48
Aujnh,0.0000,143.33,LeakyReLU_0.01,TRUE,Adagrad,16,8,6
lbv1n,0.0000,26.78,LeakyReLU_0.05,TRUE,Adadelta,32,8,48
gpzCA,0.0000,18.17,elu,TRUE,RMSProp,64,8,6
TMupi,0.0000,35.68,LeakyReLU_0.1,TRUE,Adagrad,16,2,12
rWZpe,0.0000,100.92,relu,TRUE,Adagrad,128,16,12
LBKzS,0.0000,114.79,selu,TRUE,Adadelta,128,4,12
BBIOH,0.0000,14.61,elu,TRUE,Adadelta,32,2,72
tXWOS,0.0000,75.17,LeakyReLU_0.05,FALSE,Adam,64,32,12
wuxtT,0.0000,35.18,selu,TRUE,Adam,64,32,12
V959q,0.0000,7.35,selu,TRUE,RMSProp,16,2,48
kTg9H,0.0000,12.93,LeakyReLU_0.01,TRUE,Adadelta,32,2,72
yo4le,0.0000,191.09,relu,TRUE,Adadelta,128,8,6
Fdb5B,0.0000,1.39,selu,FALSE,Adadelta,32,4,72
rbVAt,0.0000,102.34,relu,TRUE,Adadelta,128,16,12
MI6z2,0.0000,24.19,elu,TRUE,Adam,128,16,24
K9Ub3,0.0000,75.49,selu,FALSE,Adadelta,64,2,12
WZ6M7,0.0000,33.82,LeakyReLU_0.05,TRUE,RMSProp,32,32,24
e6Yts,0.0000,10.87,relu,FALSE,Adadelta,16,2,48
BePPq,0.0000,8.53,selu,TRUE,Adagrad,64,2,48
ysDaC,0.0000,64.82,selu,TRUE,Adam,64,4,12
DVbDA,0.0000,39.46,LeakyReLU_0.01,TRUE,RMSProp,32,32,12
YFMLP,0.0000,110.36,LeakyReLU_0.01,TRUE,Adagrad,128,4,6
UPMNt,0.0000,26.46,relu,TRUE,Adam,32,8,12
xZfLf,0.0000,127.29,LeakyReLU_0.1,TRUE,Adadelta,32,32,12
cvQh5,0.0000,19.97,selu,FALSE,Adagrad,32,32,12
Ya4w4,0.0000,9.46,LeakyReLU_0.05,TRUE,RMSProp,32,4,72
t9yZE,0.0000,20.44,LeakyReLU_0.05,TRUE,Adam,64,32,72
R2JNd,0.0000,87.67,LeakyReLU_0.05,TRUE,Adagrad,16,32,12
XscZ7,0.0000,27.88,elu,TRUE,Adadelta,64,2,24
a7Jfl,0.0000,28.73,LeakyReLU_0.01,TRUE,Adam,16,16,24
t6HDC,0.0000,20.04,LeakyReLU_0.1,TRUE,RMSProp,16,8,24
tVQ6t,0.0000,84.98,LeakyReLU_0.1,FALSE,Adagrad,16,2,6
jwH1B,0.0000,11.18,LeakyReLU_0.01,FALSE,Adagrad,16,8,72
mYYPt,0.0000,12.23,elu,FALSE,Adadelta,64,8,72
rSxyO,0.0000,45.00,LeakyReLU_0.01,FALSE,Adagrad,16,2,12
